fold,layer,MAE
dielectric_0,alignn3,0.14519027786458336
dielectric_0,alignn2,0.155797400390625
dielectric_0,alignn0,0.1750607817708333
dielectric_0,gcn3,0.14051513372395835
dielectric_0,gcn2,0.14086667708333334
dielectric_0,gcn0,0.14242003971354167
dielectric_0,gcn1,0.14242310182291665
dielectric_0,alignn1,0.17970327981770837
dielectric_1,alignn3,0.057813602734375
dielectric_1,alignn2,0.09652078450520833
dielectric_1,alignn0,0.20962909049479164
dielectric_1,gcn3,0.06222745611979167
dielectric_1,gcn2,0.04746783932291667
dielectric_1,gcn0,0.05362912421874999
dielectric_1,gcn1,0.058541110807291664
dielectric_1,alignn1,0.15145147239583331
dielectric_2,alignn3,0.151235009765625
dielectric_2,alignn2,0.15968746601562497
dielectric_2,alignn0,0.40464150924479164
dielectric_2,gcn3,0.078480239453125
dielectric_2,gcn2,0.08396577942708333
dielectric_2,gcn0,0.10457677838541668
dielectric_2,gcn1,0.08247553723958333
dielectric_2,alignn1,0.3296616997395833
dielectric_3,alignn3,0.13124541679687501
dielectric_3,alignn2,0.14179652083333336
dielectric_3,alignn0,0.28419709622395833
dielectric_3,gcn3,0.060547706067708325
dielectric_3,gcn2,0.04813486874999998
dielectric_3,gcn0,0.08009919257812502
dielectric_3,gcn1,0.07009792239583333
dielectric_3,alignn1,0.21721549244791669
dielectric_4,alignn3,0.1130517653125
dielectric_4,alignn2,0.13634235338541667
dielectric_4,alignn0,0.3008108131510417
dielectric_4,gcn3,0.06404422309895834
dielectric_4,gcn2,0.052359091145833335
dielectric_4,gcn0,0.08965318333333334
dielectric_4,gcn1,0.08528199361979168
dielectric_4,alignn1,0.23642583854166666
