y_true,y_pred
2.421976,2.4099994
2.4998493,2.4334395
1.7970436,1.797111
3.134365,3.178835
2.0124443,2.0507345
2.192259,2.1875818
1.7178649,1.5800651
3.5008292,3.1708317
2.7662566,2.673291
2.7297285,2.450283
1.8862119,1.8014002
1.573131,1.5676134
2.225234,2.1685054
1.8606119,1.8556387
2.758498,2.9022768
2.474999,2.4046211
2.4977329,2.4213305
1.7307822,1.7225269
3.8590155,4.1638603
1.7131475,1.7148148
2.2858305,2.3954446
2.2281916,1.9440348
2.0550184,2.137731
1.7092905,1.7490802
2.3943844,2.3406177
1.7394458,1.8441716
2.2215111,2.1726294
2.0057418,1.921072
2.0428405,2.071332
1.6202873,1.5978
1.5368853,1.4834056
1.3766949,1.4034306
2.44406,2.4116025
3.2845073,3.2723572
2.3050344,2.3290668
4.0275464,4.0221796
1.6285672,1.685306
4.047787,2.1522489
2.1755488,2.218502
1.7887897,1.9679968
2.7660441,2.4828434
1.6621271,1.7023809
2.2684755,2.306781
2.3619163,2.314507
2.5306544,3.1697106
2.4708035,2.5169327
2.9700665,2.9745777
2.7490604,2.6870527
1.7143024,1.7451175
2.413217,2.3949008
1.3940349,1.403873
2.5870514,2.5878048
1.6534023,1.6571465
2.0708506,2.0161743
2.0688965,2.194582
4.086563,3.5723376
2.6512961,2.2774396
2.8967144,2.9501064
1.9356462,1.9322339
1.7397379,1.75018
1.5850323,1.5904119
1.7319378,1.7348129
2.7413127,2.6644619
1.9243004,1.9345839
1.5968589,1.7086093
1.700574,1.7849635
2.045619,2.0850272
1.652875,1.6244454
1.8318793,1.7331231
2.3985412,2.4204712
1.6468934,1.6677783
2.3648047,2.5905347
3.5711486,3.237675
1.8487437,1.8610959
1.6314021,2.8494458
1.6839437,1.6353288
2.1795948,2.1991215
2.3963964,2.677669
1.7853642,1.7278814
2.4746716,2.9349256
1.8402253,1.8974752
4.347451,4.2954965
4.248686,4.1477237
2.212088,2.3182406
2.2901876,2.2533946
1.9356483,1.9548222
1.667633,1.7153511
2.0035973,2.0123749
2.6837122,2.3076787
1.8466185,1.8730943
2.1883783,2.20275
1.9031402,1.9986098
2.1047373,2.1569092
1.5368972,1.552021
1.6444857,1.6095115
1.6292125,1.6171736
1.578139,1.6801212
1.9922824,1.8133669
1.8085524,1.8165736
3.005606,2.986951
6.1899176,5.5248914
2.7354047,2.6823869
1.6730212,1.6989045
2.48868,2.4803045
1.6932299,1.6921108
3.5372174,3.6606228
1.4314328,1.4088978
1.9010433,1.8833697
1.7613562,1.7877641
3.655201,3.4139242
1.6787333,1.9041605
1.883386,1.9150934
1.2774975,1.3008196
1.9977454,2.0241022
2.0781848,2.1946805
1.7988744,1.7586524
1.4761436,1.5017111
2.576975,2.2980108
2.0675461,2.0005388
