y_true,y_pred
2.207225,2.2399263
1.3661381,1.372325
2.0205019,2.0751312
1.8698024,1.8609803
2.1092982,2.1453476
2.0511906,2.094644
4.174805,4.24505
1.5337136,1.5446297
2.1318488,2.1552093
1.8643042,1.8588328
3.07479,2.9924881
1.3263986,1.3429216
1.4955279,1.5230336
2.1389275,2.083753
2.594908,2.5922766
1.7195626,1.7496744
6.2526793,6.4357605
11.357103,11.995109
2.062162,2.0522902
1.9443072,2.015889
2.5755486,2.6077266
2.226613,2.2493105
3.664287,3.7546103
1.4853847,1.5079116
2.0957437,2.0354965
1.8971753,1.8803116
2.2994537,2.3083944
1.7977991,1.8029245
4.4323163,4.414784
1.5277207,1.5168178
2.3146648,2.2756166
13.348395,9.971144
2.477449,2.5008807
1.5198253,1.5535816
1.5593748,1.5456228
3.2487855,3.2611065
1.5026976,1.5189035
1.448761,1.4383006
3.4299486,3.4744458
1.8180473,1.8269217
1.6816676,1.6348644
2.689961,2.7149425
2.2020445,2.191494
2.365162,2.3536944
2.8554041,3.1268644
2.2661178,2.3086803
2.1090906,2.1030014
1.7021238,1.6986798
4.919906,4.8475156
1.7716782,1.7952797
1.5063298,1.5194131
1.0,1.286968
3.7116933,3.8117585
2.4444711,2.3851156
3.1103055,3.0039792
1.3426342,1.3600237
1.554398,1.5512899
1.4061768,1.4186893
1.9611222,2.032043
2.281687,2.298562
2.0415492,2.1024294
6.120909,6.200001
1.8206226,1.8168664
1.5511286,1.5070057
1.8300145,1.746439
3.1480153,3.1479588
2.247,2.2459512
1.8834366,1.8380384
2.517155,2.601388
2.148763,2.1439123
1.4228119,1.462572
1.7640213,1.7586644
2.8121057,2.8552053
2.5112414,2.6088734
2.6847563,2.832633
1.712125,1.6642914
2.608874,2.6232367
3.1293643,3.0868883
2.814123,2.8255794
1.634634,1.6566558
2.4406328,2.4137526
2.5065455,2.5761232
1.9140567,1.9018614
1.7241166,1.7943426
2.0844705,2.05191
1.4181368,1.4452844
3.1387436,3.1473265
1.9188864,1.871342
1.7892323,1.8291218
2.3036244,2.314729
2.2873797,2.331385
1.75619,1.7682049
2.215852,2.2234497
2.2616243,2.1135178
2.7291634,2.8222256
2.1691804,2.1814828
2.0966995,2.1577477
1.5859809,1.6002717
1.634882,1.6136551
1.7692415,1.7880831
1.9529229,1.9187417
2.0133622,2.058014
1.6577092,1.5887895
1.8275043,1.8965645
5.0081935,4.7419705
1.4538455,1.4220064
2.429964,2.4377592
1.7248557,1.7103562
1.8586098,1.804964
1.181408,1.3212012
2.4756594,3.3975945
4.521283,4.5233283
3.1081393,2.9435234
1.339154,1.347625
5.747141,6.177927
1.8751888,1.8769634
1.7520559,1.7669232
2.4154613,2.4333436
2.1222632,2.2682328
1.4119108,1.4219623
2.5075953,2.562174
2.112908,2.144761
3.5301297,3.8442028
2.0858502,2.1025605
3.5386438,3.572099
3.618263,3.6267397
1.4782845,1.5111152
2.172653,2.1582313
1.3290347,1.3523307
3.4788408,3.4009497
1.5036622,1.5196859
2.9279897,3.0050685
2.959575,2.928694
2.315668,2.2577636
1.6774944,1.7274534
1.8444036,1.8710514
1.6148272,1.6171693
1.5274774,1.5011047
2.9840117,3.0079813
3.064484,3.1874123
2.7057512,2.7594845
1.4586853,1.4548885
2.3700902,2.4296598
1.6819879,1.6930215
1.9074376,1.9191567
1.7863446,1.7809024
2.5537376,2.5902364
2.0233424,1.989109
3.6064637,3.6879578
2.0739782,2.1763062
1.4138463,1.4456425
1.8452946,1.8850492
2.6552198,2.584519
1.8732454,1.7877526
1.7594908,1.757679
2.7361603,2.795892
2.268649,2.3908308
