id,target,prediction
7, 32.106945, 12.520141
12, 2.415583, 15.027010
18, 11.032402, 4.424107
49, 8.891505, 3.608806
57, 8.954539, 3.910327
59, 31.201477, 8.191313
84, 9.626024, 13.473594
85, 10.480958, 9.028600
96, 1.336676, 1.105169
100, 2.567601, 8.612408
104, 11.822142, 18.556829
109, 10.748892, 5.298307
113, 15.541629, 27.810213
118, 2.133198, 2.370649
123, 12.659221, 14.102234
128, 3.415801, 2.519263
140, 1.947027, 1.653368
155, 3.836000, 2.240242
157, 1.099242, 0.711890
163, 4.855302, 3.891022
168, 0.620523, 0.852766
179, 5.431882, 3.774587
195, 18.986197, 14.540444
199, 19.186132, 18.579506
208, 15.066015, 19.537493
210, 105.262222, 37.286728
212, 0.617877, 1.039426
219, 2.057638, 2.810118
220, 10.459622, 30.294535
221, 653.729431, 37.932014
226, 1.728389, 12.406281
227, 4.952149, 2.586431
229, 1.025681, 0.460780
231, 5.907013, 10.867414
237, 20.906227, 23.261051
238, 3.287688, 3.418942
243, 2.118641, 1.168376
247, 12.314972, 17.223604
252, 16.702345, 3.526649
259, 2.024522, 0.837744
261, 11.751010, 3.173311
263, 14.605018, 2.992054
269, 0.942901, 1.232385
272, 3.192276, 1.707306
275, 2.114090, 5.571432
276, 10.562142, 4.231388
278, 7.887485, 2.967511
281, 12.799106, 13.964650
283, 26.404413, 29.235224
286, 32.759109, 18.745998
288, 8.034109, 4.032822
290, 20.881678, 37.467400
297, 5.775739, 3.637170
303, 1.949338, 1.658702
304, 35.624153, 22.513895
307, 7.387001, 5.471004
315, 3.389155, 4.398628
340, 4.202446, 2.995354
342, 2.634492, 1.526584
344, 6.828596, 3.111918
347, 255.275009, 35.306877
349, 0.162549, 0.608238
350, 3.133726, 1.762144
351, 13.622057, 3.718492
353, 1.151320, 2.049333
358, 2.587283, 2.006272
360, 1.569264, 2.246406
365, 0.382214, 0.791504
367, 1.816674, 2.437169
381, 2.921428, 2.491611
383, 1.658039, 1.121253
406, 0.696977, 1.284882
407, 5.985192, 2.419171
415, 23.951872, 13.593737
422, 10.259826, 9.211071
424, 13.667533, 16.210073
426, 11.123030, 5.584900
435, 1.732937, 0.701298
440, 55.800289, 39.669868
445, 7.668997, 37.567024
456, 94.952835, 39.161221
461, 16.647352, 32.804047
462, 22.151630, 10.399372
464, 7.428345, 2.816094
480, 17.675589, 6.947489
482, 9.040203, 39.023159
489, 1.752344, 1.069663
490, 192.569748, 18.989666
494, 4.920867, 1.921047
497, 497.917053, 38.764244
498, 18.637442, 13.498967
508, 17.755178, 38.427345
509, 6.899593, 39.008320
518, 11.835938, 3.214770
521, 4.257166, 4.115211
522, 14.548932, 8.409898
530, 0.305661, 0.984830
538, 26.922552, 5.350346
542, 13.026654, 14.906420
543, 1.042334, 1.608742
547, 0.857333, 0.526301
549, 2.766296, 1.097450
553, 1.350114, 1.122884
560, 8.320502, 2.318115
561, 2.733634, 1.468176
573, 77.952179, 39.438606
575, 1.354809, 2.300282
589, 2.983013, 4.486334
597, 45.911194, 7.860044
604, 55.231853, 37.934689
613, 16.853231, 22.825600
617, 2.093027, 6.102842
618, 5.680988, 3.780975
620, 16.267612, 24.240808
626, 1.040060, 1.041405
629, 7.593600, 11.776661
630, 1.069815, 1.184116
632, 21.733984, 14.077038
643, 3.841268, 7.006948
644, 6.800694, 10.181939
647, 20.888294, 26.147305
649, 0.880651, 0.571297
650, 1.744030, 3.145399
651, 23.203064, 38.769524
655, 0.967409, 2.603147
657, 5.876173, 5.965047
662, 5.674743, 3.402778
664, 9.165866, 13.514631
668, 30.709051, 13.718237
669, 7.280647, 7.464592
677, 6.886598, 3.379383
690, 5.601654, 3.986770
705, 7.244217, 5.874136
707, 3.204506, 7.644890
714, 10.199320, 4.015021
719, 6.265515, 4.600960
736, 5.851987, 5.777062
741, 13.262871, 6.451044
742, 2.301664, 2.704562
744, 2.068653, 3.598148
748, 4.667126, 4.663049
767, 1.579381, 11.412619
772, 1.301345, 1.676953
781, 1.690092, 1.352875
782, 24.975412, 32.890556
783, 1.503273, 0.651893
786, 6.331562, 3.117205
787, 0.779541, 1.351286
788, 3.715679, 0.749917
798, 1.272546, 1.039104
802, 3.144067, 1.635049
803, 51.214012, 25.232294
805, 1.089682, 0.836040
811, 8.766854, 0.830170
821, 0.920243, 0.988067
834, 0.773463, 1.168728
839, 0.426679, 1.596687
841, 0.141495, 0.440229
842, 0.181636, 0.793824
843, 0.157198, 0.508850
844, 3.013575, 34.078400
845, 25.420061, 32.043068
847, 23.641275, 32.326939
856, 1.532732, 0.638078
857, 0.520195, 0.586756
858, 0.664026, 0.383045
862, 0.172165, 0.111605
864, 0.430102, 0.176078
869, 0.587527, 0.477851
871, 0.205307, 0.060670
881, 24.170746, 20.970644
889, 24.832996, 23.616251
891, 2.627949, 1.527218
897, 9.906394, 15.924377
907, 4.697192, 13.606978
911, 0.392713, 0.447714
916, 0.406413, 0.849689
926, 228.756454, 5.793377
941, 0.507089, 0.732624
942, 0.915343, 0.458864
949, 2.737889, 1.795717
958, 0.723480, 2.875766
961, 6.864399, 7.278957
964, 33.992950, 9.274346
965, 8.347326, 5.623867
968, 10.014993, 3.760066
978, 19.480463, 8.550363
979, 18.490454, 9.771122
986, 13.092052, 25.455339
998, 16.721071, 36.321659
1000, 26.368036, 27.329973
1005, 36.106636, 38.483021
1006, 9.508597, 36.596046
1009, 6.823120, 6.995929
1010, 13.606450, 7.098207
1014, 4.317750, 3.018376
1024, 2.267731, 1.176165
1025, 4.869224, 2.996457
1027, 2.511252, 3.342869
1029, 4.700917, 5.189675
1032, 7.139968, 5.120103
1033, 4.578342, 3.577878
1037, 24.804771, 12.042422
1042, 4.890503, 6.016145
1047, 3.999388, 2.023583
1053, 7.294742, 4.213409
1055, 6.828291, 2.941709
1057, 9.433085, 12.196335
1058, 1.656601, 3.056699
1061, 43.493031, 33.731621
1064, 24.473612, 24.798504
1068, 10.452326, 2.704721
1072, 8.442562, 8.284589
1073, 5.835367, 3.893450
1078, 5.122627, 5.387782
1080, 3.087160, 3.264277
1084, 6.803135, 5.116239
1088, 1.232295, 1.789212
1093, 2.072548, 2.238355
1097, 0.656532, 1.205293
1099, 1.704818, 2.348453
1102, 4.186391, 1.760580
1106, 2.007986, 1.392899
1110, 11.896329, 12.258735
