id,target,pred
1,1.055639,1.9319901
4,26.596716,18.560944
11,3.000347,4.785885
16,6.141385,4.5589447
19,366.804016,27.73294
21,17.099415,38.0927
34,30.302065,7.034586
35,2.805806,2.0073476
36,29.499119,15.949749
38,68.199539,44.80114
46,0.786734,9.327523
50,20.78792,13.324732
64,0.243059,0.57337433
75,3.455683,2.2498345
89,7.140918,3.7678618
90,44.708858,89.18352
95,8.062248,16.1843
98,7.891177,13.221629
103,18.703308,6.473549
114,9.272073,11.134681
116,9.443916,14.54664
119,36.464256,31.788235
122,4.765152,4.817369
127,22.252113,30.242928
130,9.676888,8.399683
133,3.092701,2.6417708
143,1.938122,1.2662158
146,3.235465,2.7559307
153,1.004048,1.0781577
154,17.291243,12.999815
160,3.517239,7.364292
161,7.42881,8.9372225
172,1.824672,6.3303356
180,2.910579,2.3535254
186,16.04994,12.4548435
189,4.160462,3.5772717
190,13.064304,15.6052265
197,17.337692,19.35751
200,1.820636,25.952251
201,1.564556,7.344865
202,9.487208,10.424734
206,21.165953,21.054546
216,0.508494,0.7228668
225,6.176516,11.79641
234,44.669044,36.943558
241,3.549511,2.4405153
245,15.100497,36.028034
253,5.307918,6.1793566
262,4.507896,4.75288
264,6.722052,7.6285944
268,1.866607,2.4552653
284,14.905782,11.73474
293,1.86155,1.019478
301,2.430779,5.321074
317,3.352062,2.6634355
330,1.280904,2.3927665
335,3.435028,3.577568
337,3.154071,11.619463
356,2.009735,7.598792
369,1.548685,1.8658181
378,0.912271,3.6635373
379,51.424572,84.74695
391,2.303911,1.677012
392,2.405335,1.9320846
395,42.533619,25.346031
396,29.832968,20.537735
397,12.833587,11.526177
399,32.632339,25.658934
400,10.815219,17.476334
403,5.909629,3.540266
412,0.793927,1.9171252
417,7.490339,11.206226
418,9.209065,24.062595
452,20.027351,2.9441123
455,77.394676,23.250288
459,3.585332,1.4800516
466,17.174408,29.054739
469,17.871229,6.364044
474,3.782154,3.0030715
487,18.958378,37.21435
488,28.53742,34.918602
492,2.912456,2.9374027
496,1.152594,3.820829
499,8.668462,7.5631557
502,1.617273,3.403376
504,11.79478,8.798439
510,1.181303,5.594043
512,67.937706,80.13858
515,0.248476,0.45577395
524,1.63688,1.3031188
537,37.634178,7.204604
540,2.507565,1.8980023
546,4.257531,7.0089545
550,1.544063,4.347072
559,6.359574,3.8835702
562,64.277023,79.40737
563,2.227243,3.0500712
569,39.675945,71.673706
574,4.838831,45.905987
580,7.619516,48.2589
586,3.373784,22.81157
595,138.320068,92.55647
600,5.617641,7.258972
606,59.05632,59.365078
608,2.347005,10.610113
616,3.258509,5.759555
623,43.837894,30.285748
625,4.628395,5.2428274
627,2.724415,24.187801
633,3.533296,2.6740456
635,6.252828,6.286703
639,8.791031,27.962822
640,6.70724,7.2235403
641,1.457285,2.8139396
646,6.284455,34.196995
648,43.680115,49.1321
652,29.853664,46.917694
656,1.636633,3.2346573
658,0.66573,0.70837086
659,1.503822,2.9497435
663,8.686874,8.23226
675,9.63754,5.0449905
681,7.748562,9.447559
683,1.818204,1.6261215
684,1.622115,4.2733364
698,4.171693,9.237535
699,6.350097,4.0665383
702,15.12605,14.2081995
703,0.332608,2.1395345
709,4.623124,7.1879764
713,8.819745,5.848694
717,26.092503,11.220527
728,14.769526,8.575682
732,4.496161,6.1431246
740,7.458874,8.861993
747,19.667692,11.680204
750,2.155559,3.2083077
753,4.078952,2.5755806
763,1.788398,5.435949
766,9.466001,9.534995
769,0.976861,1.6657196
773,0.369241,1.4137757
775,0.521173,1.0935991
779,2.570029,11.015892
784,0.640427,1.3972925
791,2.248275,1.226259
795,27.155933,20.05105
797,15.764782,14.860062
804,21.259495,17.068699
815,15.318195,2.816234
823,1.698921,8.530853
825,2.296731,3.2461312
828,1.783517,1.4120812
830,2.155344,1.5538247
833,1.072089,2.6255133
835,1.007035,0.84495366
837,11.552176,21.21297
850,12.956957,22.631138
851,38.697193,34.21466
853,21.765013,23.193398
854,29.81016,20.666147
860,0.458209,0.68254924
863,0.669921,1.5746555
870,1.029472,1.1988205
872,0.24506,0.90793467
876,1.392708,7.660173
877,1.728702,1.3959088
878,40.22477,36.922874
880,13.365227,27.173908
884,3.361437,5.1292686
894,26.976295,23.980373
895,24.405832,14.422727
896,19.151421,31.661362
920,12.760672,18.643902
928,2.723711,3.0848322
933,7.859419,7.3058524
953,0.688109,0.9935945
954,0.872663,0.8101742
955,0.720912,0.80224824
956,7.632953,19.356344
957,7.19507,5.1799107
959,2.087811,10.333591
960,7.797696,9.599728
971,11.506719,6.4852486
972,13.405779,9.543688
975,21.057091,8.15686
977,39.170162,27.896568
980,24.838951,26.35018
991,4.411769,3.0291834
992,41.488983,30.958252
995,20.66992,22.700735
996,28.681103,25.204529
1008,33.308662,21.140362
1012,2.243459,5.4811144
1015,5.068156,3.5500307
1016,3.976324,7.6086907
1020,1.207133,2.9600859
1021,15.162347,10.27936
1028,2.530421,4.7559032
1038,19.917704,18.88537
1045,7.44456,17.227177
1051,4.121379,2.3006167
1059,14.101714,20.78891
1060,12.604663,10.496708
1062,6.761587,16.586426
1065,34.019791,25.575584
1066,44.278599,22.68651
1069,10.051986,3.6591501
1076,44.42815,14.174679
1077,4.144292,6.83549
1081,5.172622,4.136022
1082,6.093306,11.10149
1092,2.648005,5.2360444
1095,1.846148,1.5031706
1115,3.80039,4.288904
1119,3.527401,3.0751297
1122,3.091328,3.9779239
1126,3.188624,3.583869
1129,3.302315,2.6954222
1130,1.184836,2.4210172
1136,21.879414,27.809746
1139,5.304818,4.8214045
1140,4.019269,4.3604784
1141,3.255661,3.2682302
1147,4.908237,7.161716
1148,5.619652,7.5709443
1150,4.734373,5.265373
1152,3.853581,5.8067913
1153,2.928283,4.381512
1154,7.536644,4.3675003
1155,4.32942,4.0968533
1156,3.21192,3.134117
1158,2.331024,2.1770935
1162,2.712306,2.3639407
1166,5.737607,8.491196
1167,4.707128,10.609985
1180,4.956785,4.626048
1183,17.812496,18.209202
1184,5.779489,14.009133
1191,10.395427,11.762548
1197,4.771106,2.9367104
1205,4.809694,6.1749763
1209,7.476115,5.5547686
1212,10.815248,24.485807
1214,10.511652,21.890667
1215,15.618808,19.870533
1217,19.041613,16.71487
1218,26.750938,23.009083
1219,24.58386,20.53849
1227,26.463224,17.663782
1238,9.814977,14.022085
1243,18.406794,15.235901
1257,1.609024,4.6146507
1267,2.966399,3.0270708
1275,8.078617,3.3965988
1282,2.670923,1.6407734
1291,1.808456,1.5161549
1294,0.753849,1.1189487
1296,3.307203,1.6768861
1297,1.101827,1.5588422
1300,1.885043,8.713341
1306,0.964653,1.5164297
1312,5.659301,8.243828
1324,0.812527,0.9799454
1327,29.543848,22.067682
1346,21.556776,27.510416
1348,34.545937,26.04699
1354,19.110697,8.818248
1363,24.415976,21.78627
1365,18.99754,23.697186
1367,26.273369,17.875818
1369,9.095703,6.008093
1384,15.881889,14.797692
1388,27.504784,20.3512
1390,11.550713,17.842731
1400,27.716875,17.302061
1408,10.869227,12.793994
1409,8.681205,18.256563
1415,21.228161,15.334238
1416,13.413736,11.798997
1434,2.146852,1.5623752
1438,5.446605,5.5784197
1439,1.125168,2.4007108
1440,1.060356,1.6249397
1443,1.205176,4.211979
1445,0.725438,2.0197067
1470,2.719725,4.3750615
1478,11.218404,7.1355124
1479,0.530685,2.5712938
1482,1.129191,3.9436493
1484,0.786542,2.7147608
1485,0.229166,1.9804156
1492,1.830009,2.2511067
1495,3.103218,3.683775
1496,22.524475,20.87275
1500,29.817202,21.27048
1504,25.026005,18.746067
1515,20.677929,20.881031
1516,21.251366,23.852627
1519,21.000387,15.385739
1520,0.589013,1.3716481
1522,1.118615,2.3687878
1527,10.561886,18.348766
1528,1.469741,2.0106704
1529,0.867265,1.2884986
1531,0.667168,1.3745487
1534,0.561927,1.2016878
1540,0.470984,2.7729397
1542,0.447629,2.2697744
1548,0.473017,2.5782115
1568,0.249299,1.3076282
1570,1.345628,2.558539
1571,29.734377,18.49096
1579,27.261177,18.778458
1585,0.983745,2.9168725
1589,24.02199,29.117552
1595,5.229648,8.606148
1597,1.127256,1.7220774
1603,6.840477,12.44845
1625,0.451251,1.9438939
1630,1.452257,1.7087712
1631,0.444479,1.9111845
1634,1.149557,1.3996395
1635,0.787904,1.7772212
1636,1.5208,3.1898828
1638,21.917536,20.239426
1643,1.31801,2.7719073
1648,27.645546,23.22794
1649,16.866806,26.708363
1661,10.965854,11.578825
1663,0.730306,1.2951667
1664,0.620172,0.7940481
1676,0.628882,1.1644814
1678,0.497378,1.0399444
1679,0.731996,0.9519712
1680,0.705715,1.3586352
1682,1.115046,1.6832066
1683,0.572807,0.85953546
1685,1.101599,1.4072967
1686,0.613544,1.2421298
1687,0.709018,1.1031135
1693,0.384995,1.4972031
1695,0.440736,1.1926777
1696,0.919189,2.2745955
1698,0.417646,1.0394244
1704,0.487292,1.5972118
1705,0.946476,1.7409992
1707,0.422934,0.9763057
1715,1.629623,2.3070903
1722,1.118527,0.95520616
1733,29.793205,22.49377
1734,19.178267,22.578543
1751,11.4139,11.767249
1757,23.007812,24.101841
1758,32.728542,23.459024
1759,23.871969,25.248367
1768,0.857057,1.8125705
1773,0.900932,0.93964875
1781,4.524199,4.7799444
1782,1.009187,0.94172305
1785,0.637844,0.7774686
1787,0.851116,1.2689285
1794,1.011247,3.5405269
1796,1.264084,1.2528343
1799,0.626128,1.053787
1802,0.448263,1.0243666
1806,0.89729,1.0517478
1810,2.916156,1.6741284
1816,3.314635,5.730059
1819,1.774096,2.0194132
1821,1.426732,2.9664328
1823,3.868111,1.8729823
1827,0.984058,0.8677249
1841,5.889563,4.631535
1843,0.449672,0.6636924
1853,0.336589,0.41513467
1856,2.112189,2.048864
1863,0.301852,1.3065012
1881,0.906183,1.0654705
1884,1.314745,1.3308419
1890,0.467747,1.1524502
1892,0.996852,3.9891725
1895,1.502377,12.681164
1899,2.43191,1.2313731
1903,0.797105,2.3684597
1906,0.7226,1.2701931
1919,0.348146,0.6380354
1923,2.063701,1.3475482
1930,0.431184,5.965064
1931,0.906689,1.2164133
1955,0.314956,0.81327003
1958,0.587217,0.6663754
1959,1.113288,2.2687612
1969,0.423004,0.9622294
1974,33.996101,30.626244
1981,10.970962,5.8763914
1982,32.121902,35.74892
1986,32.747944,35.013298
1996,0.516456,1.309311
1998,1.370834,0.7725246
2006,0.252471,0.8371561
2027,6.686057,8.413679
2038,1.532497,3.5380898
2041,4.164334,3.0395226
2047,26.391653,21.446487
2049,22.644434,22.997581
2056,3.154046,3.1747818
2061,17.870817,15.565622
2062,22.546589,17.865992
2065,12.060882,8.229221
2068,3.849764,7.701296
2070,29.386776,22.100933
2074,12.620867,17.498535
2076,5.324802,3.5554643
2082,3.370984,7.147973
2085,1.107382,1.431743
2088,1.867201,1.8957201
2101,2.065089,4.371419
2105,1.025144,1.5648451
2109,2.558603,3.1647403
2135,12.497876,10.099215
2139,27.670856,13.942104
2141,9.612086,13.401175
2143,3.995342,4.4081726
2146,17.214954,11.414444
2156,0.465052,0.7471534
2160,0.637405,1.4151549
2169,0.391401,0.92117035
2182,0.660728,0.8965452
2191,12.297606,19.013735
2197,3.753673,4.7416654
2198,3.101351,3.5190606
2199,8.337548,3.7579474
2200,1.415163,6.316103
2205,2.69267,1.9091378
2207,9.909224,5.8437777
2214,1.161217,1.4654121
2217,1.087856,1.2346553
2224,6.603498,5.6181736
2235,2.00246,1.6184201
2237,5.175017,4.3890076
2239,3.694698,4.230111
2253,4.585416,2.5622587
2255,1.408109,2.477221
2264,3.459061,2.5701137
2265,1.941583,1.7611344
2267,1.709454,2.4864833
2277,4.325155,3.2104383
2278,1.176322,2.2106957
2294,9.389964,19.814445
2300,2.28945,1.7594783
2301,1.086188,0.86261594
2305,2.159405,3.246323
2311,5.420331,4.4513216
2317,9.697539,6.9313188
2324,322.159851,109.60393
2326,0.859682,0.6583085
2327,69.108009,115.0506
2331,49.266098,16.558664
2336,10.421548,32.902416
2343,1.430088,0.85509837
2352,1.236177,0.7943162
2361,2.675811,82.34071
2363,2.075099,1.8039767
2368,14.852118,4.9484878
2385,10.353639,98.87905
2386,1.342307,1.4881232
2388,0.897116,2.486263
2391,14.282799,78.96403
2393,6.937789,108.554016
2395,2.753287,3.0860417
2427,7.351811,10.456547
2432,1.021534,6.5818834
2433,0.565437,1.4498653
2434,9.552755,3.9108865
2435,21.013103,106.99292
2444,20.407497,5.926651
2445,1.06503,7.56944
2449,30.993895,5.7303915
2450,110.519966,70.538345
2454,45.300804,42.55067
2455,22.089298,100.28067
2479,1.930958,39.710506
